"SpeciesLatinName","GestationTimeInYears","averagedMaturity.yrs","maxAge"
"Mustela putorius furo",0.115068493150685,0.868493150684931,11.1
"Mustela sibirica",0.0794520547945206,NA,8.8
"Neovison vison",0.115068493150685,0.965753424657534,11.4
"Poecilogale albinucha",0.0876712328767123,1.2027397260274,5.2
"Pteronura brasiliensis",0.186301369863014,2,17.3
"Taxidea taxus",0.112328767123288,0.854794520547945,25
"Vormela peregusna",0.167123287671233,0.249315068493151,8.8
"Nandinia binotata",0.175342465753425,3,21
"Odobenus rosmarus divergens",0.906849315068493,6,41
"Arctocephalus australis",0.646575342465753,5.0013698630137,30.6
"Arctocephalus forsteri",0.646575342465753,5,15
"Arctocephalus galapagoensis",0.583561643835616,4.0027397260274,22
"Arctocephalus gazella",0.704109589041096,3.5013698630137,23
"Arctocephalus pusillus",1.00821917808219,3.9986301369863,32.1
"Arctocephalus tropicalis",0.978082191780822,4.21556164383562,23
"Callorhinus ursinus",0.657534246575342,4.24931506849315,35
"Eumetopias jubatus",0.750684931506849,5.75342465753425,32.8
"Neophoca cinerea",0.706849315068493,4.5013698630137,31
"Otaria flavescens",0.978082191780822,5.0027397260274,29
"Phocarctos hookeri",1,6.0027397260274,NA
"Zalophus californianus",0.70958904109589,4.0013698630137,35.7
"Cystophora cristata",0.657534246575342,4.0013698630137,35
"Erignathus barbatus",0.70958904109589,5.39041095890411,31.5
"Halichoerus grypus",0.657534246575342,4.58493150684932,42.9
"Histriophoca fasciata",0.750684931506849,3.25205479452055,31
"Hydrurga leptonyx",0.750684931506849,3.5013698630137,26
"Leptonychotes weddellii",0.832876712328767,4.11917808219178,25
"Lobodon carcinophaga",0.70958904109589,4.25205479452055,39
"Mirounga angustirostris",0.69041095890411,4.0013698630137,20.3
"Mirounga leonina",0.602739726027397,3.95068493150685,23
"Monachus monachus",0.791780821917808,4.0027397260274,23.7
"Monachus schauinslandi",0.917808219178082,5,30
"Ommatophoca rossii",0.624657534246575,3.25068493150685,21
"Pagophilus groenlandicus",0.624657534246575,4.74383561643836,42
"Phoca largha",0.873972602739726,4.0027397260274,35.5
"Phoca vitulina",0.693150684931507,3.5,48
"Pusa caspica",0.904109589041096,5.75342465753425,50
"Pusa hispida",0.687671232876712,5.5027397260274,46
"Pusa sibirica",0.747945205479452,6.41917808219178,56
"Bassaricyon alleni",NA,NA,25.2
"Bassaricyon gabbii",0.2,1.75205479452055,21.8
"Bassariscus astutus",0.142465753424658,0.821917808219178,19
"Bassariscus sumichrasti",0.175342465753425,0.821917808219178,24
"Nasua narica",0.213698630136986,1.95068493150685,26.4
"Nasua nasua",0.2,2,23.7
"Potos flavus",0.315068493150685,1.87671232876712,38.4
"Procyon cancrivorus",0.172602739726027,1,19
"Procyon lotor",0.172602739726027,1,21
"Ailuropoda melanoleuca",0.131506849315068,6.00547945205479,36.8
"Helarctos malayanus",0.26027397260274,6.4986301369863,35.9
"Melursus ursinus",0.542465753424658,3,33.3
"Tremarctos ornatus",0.624657534246575,NA,39
"Ursus americanus",0.191780821917808,3.5013698630137,34
"Ursus arctos",0.282191780821918,3.5972602739726,40
"Ursus maritimus",0.178082191780822,4.75068493150685,43.8
"Ursus thibetanus",0.624657534246575,3,39.2
"Arctictis binturong",0.252054794520548,2.41780821917808,27
"Arctogalidia trivirgata",0.123287671232877,3,16.1
"Chrotogale owstoni",0.167123287671233,NA,NA
"Civettictis civetta",0.178082191780822,0.791780821917808,28
"Cynogale bennettii",NA,NA,5
"Genetta abyssinica",NA,NA,NA
"Genetta genetta",0.213698630136986,4.05205479452055,22.7
"Genetta maculata",NA,NA,20
"Genetta pardina",NA,4.0027397260274,NA
"Genetta servalina",NA,NA,NA
"Genetta tigrina",0.191780821917808,4.0027397260274,21.3
"Hemigalus derbyanus",NA,NA,16
"Paguma larvata",NA,NA,27.4
"Paradoxurus hermaphroditus",0.164383561643836,0.934246575342466,24.5
"Prionodon linsang",NA,NA,10.7
"Viverra civettina",NA,NA,15.4
"Viverra tangalunga",NA,NA,15
"Viverra zibetha",0.219178082191781,NA,21.7
"Viverricula indica",NA,NA,10.5
"Balaena mysticetus",1.16438356164384,22.4986301369863,211
"Eubalaena australis",1,9,70
"Eubalaena glacialis",0.958904109589041,8,67
"Balaenoptera acutorostrata",0.854794520547945,7.50684931506849,50
"Balaenoptera borealis",0.945205479452055,10.0054794520548,74
"Balaenoptera edeni",1.03013698630137,8.5041095890411,72
"Balaenoptera musculus",0.958904109589041,5.00547945205479,110
"Balaenoptera physalus",0.936986301369863,7.62328767123288,114
"Megaptera novaeangliae",0.936986301369863,7.96,95
"Cephalorhynchus commersonii",0.958904109589041,5.5013698630137,38
"Cephalorhynchus hectori hectori",0.916665753424658,7.75068493150685,23
"Cephalorhynchus hectori maui",0.916665753424658,7.75068493150685,23
"Delphinus delphis",0.958904109589041,4.57123287671233,35
"Globicephala macrorhynchus",1.23835616438356,12.0575342465753,63
"Globicephala melas",1.23287671232877,9.38356164383562,60
"Grampus griseus",1,NA,42.5
"Lagenodelphis hosei",0.917808219178082,7.24931506849315,NA
"Lagenorhynchus acutus",0.975342465753425,6.11232876712329,27
"Lagenorhynchus obliquidens",0.975342465753425,7.00479452054795,41
"Orcaella brevirostris",1.16712328767123,5.0027397260274,30
"Orcinus orca",1.45753424657534,10.5071917808219,80
"Peponocephala electra",1,9.25342465753425,47
"Pseudorca crassidens",1.23561643835616,14.0054794520548,62.5
"Sotalia fluviatilis",0.917808219178082,NA,43
"Sousa chinensis",NA,11.0075342465753,38
"Stenella attenuata",0.945205479452055,9.50547945205479,46
"Stenella coeruleoalba",0.958904109589041,8.02602739726027,57.5
"Steno bredanensis",1.03013698630137,10,32
"Tursiops truncatus",1.03013698630137,8.93150684931507,67
"Eschrichtius robustus",1.08219178082192,8.00547945205479,77
"Berardius bairdii",1.41643835616438,10.0068493150685,84
"Hyperoodon ampullatus",1,9.50547945205479,37
"Mesoplodon densirostris",NA,9.00547945205479,27
"Mesoplodon europaeus",NA,NA,48
"Ziphius cavirostris",1,NA,62
"Inia geoffrensis",1.04931506849315,9.35640410958904,31.3
"Lipotes vexillifer",0.873972602739726,8,24
"Pontoporia blainvillei",0.873972602739726,2.4986301369863,16
"Kogia breviceps",0.917808219178082,NA,17
"Delphinapterus leucas",1.27945205479452,11.0075342465753,50
"Monodon monoceros",1.23287671232877,7.0041095890411,50
"Neophocaena phocaenoides",0.956164383561644,5,33
"Phocoena phocoena",0.876712328767123,3.44657534246575,20.4
"Phocoenoides dalli",0.950684931506849,5.75479452054795,22
"Physeter macrocephalus",1.37534246575342,9.0027397260274,77
"Platanista gangetica",0.945205479452055,10.0054794520548,28
"Saccopteryx bilineata",0.350684931506849,1,11
"Hipposideros fulvus",0.432876712328767,1.54246575342466,13
"Macroderma gigas",NA,NA,22.6
"Megaderma lyra",0.410958904109589,1.35616438356164,14
"Miniopterus schreibersii",0.273972602739726,1.79041095890411,22
"Molossus molossus",0.295890410958904,1.16666712328767,6
"Mormopterus planiceps",0.328767123287671,1.0338904109589,NA
"Tadarida brasiliensis",0.213698630136986,1.12328767123288,12
"Tadarida teniotis",NA,NA,13
"Mystacina tuberculata",NA,NA,7.6
"Noctilio leporinus",NA,NA,11.8
"Anoura geoffroyi",0.328767123287671,NA,10
"Artibeus jamaicensis",0.208219178082192,0.791780821917808,19.2
"Artibeus lituratus",0.29041095890411,NA,NA
"Carollia perspicillata",0.26027397260274,0.74,17
"Desmodus rotundus",0.517808219178082,0.780821917808219,29.9
"Diphylla ecaudata",NA,NA,8
"Glossophaga soricina",0.29041095890411,NA,11
"Leptonycteris curasoae",0.334246575342466,NA,10.1
"Macrotus californicus",0.73972602739726,0.328767123287671,17
"Macrotus waterhousii",NA,NA,10.4
"Phyllostomus discolor",0.287671232876712,2,18
"Phyllostomus hastatus",0.328767123287671,2,22
"Platyrrhinus lineatus",0.29041095890411,NA,13
"Sturnira lilium",0.287671232876712,NA,12
"Cynopterus brachyotis",0.306849315068493,0.69,13
"Cynopterus sphinx",0.328767123287671,0.924657534246575,10
"Dobsonia moluccensis",0.410958904109589,1.95843835616438,12.3
"Eidolon helvum",0.753424657534247,1.75000273972603,21.8
"Epomophorus gambianus",0.410958904109589,NA,7.8
"Epomophorus wahlbergi",0.452054794520548,NA,10.1
"Haplonycteris fischeri",0.246575342465753,0.595890410958904,10
"Hypsignathus monstrosus",0.328767123287671,0.821917808219178,NA
"Pteropus alecto",NA,NA,19.7
"Pteropus conspicillatus",0.493150684931507,2.06890410958904,NA
"Pteropus dasymallus",NA,NA,24
"Pteropus giganteus",0.397260273972603,1,40
"Pteropus hypomelanus",0.534246575342466,1,26.5
"Pteropus livingstonii",0.416438356164384,NA,15
"Pteropus lylei",NA,NA,20.4
"Pteropus niger",NA,NA,19.4
"Pteropus poliocephalus",0.520547945205479,1.47945205479452,23.6
"Pteropus pselaphon",NA,NA,16.7
"Pteropus pumilus",0.328767123287671,0.75,17.3
"Pteropus rodricensis",0.542465753424658,1.50000273972603,28
"Pteropus scapulatus",NA,1.47945205479452,15.8
"Pteropus vampyrus",0.454794520547945,2,24
"Pteropus voeltzkowi",0.416438356164384,NA,NA
"Rousettus aegyptiacus",0.317808219178082,1,22.9
"Rousettus lanosus",NA,NA,18.7
"Rousettus leschenaultii",0.315068493150685,0.828767123287671,14
"Rhinolophus euryale",0.246575342465753,2.24931506849315,13
"Rhinolophus ferrumequinum",0.219178082191781,2,30.5
"Rhinolophus hipposideros",0.183561643835616,1.33013698630137,29.4
"Rhinolophus megaphyllus",0.350684931506849,2,NA
"Antrozous pallidus",0.16986301369863,1,14.8
"Barbastella barbastellus",NA,NA,23
"Corynorhinus rafinesquii",0.145205479452055,0.498630136986301,10.1
"Corynorhinus townsendii",0.213698630136986,NA,20.5
"Eptesicus fuscus",0.164383561643836,1.74931506849315,23
"Eptesicus nilssonii",NA,NA,20
"Eptesicus serotinus",0.186301369863014,NA,21
"Lasionycteris noctivagans",0.150684931506849,0.416438356164384,12
"Lasiurus cinereus",0.153424657534247,NA,14
"Myotis bechsteinii",NA,NA,21
"Myotis blythii",NA,1.15317808219178,33
"Myotis brandtii",0.150684931506849,1.06575342465753,41
"Myotis dasycneme",NA,NA,20.5
"Myotis daubentonii",0.147945205479452,2,28
"Myotis emarginatus",NA,1.24931506849315,22.7
"Myotis evotis",0.150684931506849,0.561643835616438,22
"Myotis grisescens",NA,1.24931506849315,16.5
"Myotis keenii",NA,NA,19
"Myotis leibii",NA,NA,12
"Myotis lucifugus",0.150684931506849,0.769,34
"Myotis myotis",0.178082191780822,1.37534246575342,37.1
"Myotis mystacinus",NA,1.12465753424658,24
"Myotis nattereri",0.136986301369863,0.877833659491193,23.7
"Myotis nigricans",0.150684931506849,0.268493150684932,7
"Myotis sodalis",NA,0.976876712328767,20
"Myotis thysanodes",0.150684931506849,0.561643835616438,18.3
"Myotis velifer",0.178082191780822,1,11.3
"Myotis vivesi",0.164383561643836,1.06575342465753,10
"Myotis volans",NA,0.416438356164384,21
"Myotis yumanensis",0.150684931506849,0.561643835616438,14
"Nyctalus leisleri",NA,NA,16
"Nyctalus noctula",0.164383561643836,0.75,12
"Nycticeius humeralis",0.150684931506849,0.833334246575342,6
"Perimyotis subflavus",0.120547945205479,0.580821917808219,14.8
"Pipistrellus kuhlii",NA,NA,8
"Pipistrellus nathusii",NA,0.249315068493151,11
"Pipistrellus pipistrellus",0.115068493150685,1.24931506849315,16.6
"Plecotus auritus",0.178082191780822,1,30
"Plecotus austriacus",NA,NA,25.5
"Scotorepens balstoni",0.575342465753425,NA,9.7
"Vespertilio murinus",0.136986301369863,2,14.5
"Cabassous centralis",NA,NA,NA
"Cabassous unicinctus",0.333333333424658,0.839921722113503,7.483333333
"Chaetophractus nationi",NA,NA,NA
"Chaetophractus vellerosus",NA,NA,16.2
"Chaetophractus villosus",0.183561643835616,0.747945205479452,25.2
"Chlamyphorus truncatus",NA,NA,NA
"Dasypus novemcinctus",0.364383561643836,1,22.3
"Dasypus septemcinctus",0.361643835616438,0.750684931506849,16.8
"Euphractus sexcinctus",0.186301369863014,0.750684931506849,22.1
"Priodontes maximus",0.334246575342466,0.876712328767123,15
"Tolypeutes matacus",0.328767123287671,0.876712328767123,36.8
"Tolypeutes tricinctus",NA,NA,NA
"Zaedyus pichiy",0.164383561643836,0.876712328767123,12.5
"Antechinomys laniger",0.0328767123287671,0.958904109589041,3.5
"Antechinus agilis",0.073972602739726,0.904109589041096,4.7
"Antechinus bellus",0.0821917808219178,0.958904109589041,3.4
"Antechinus flavipes",0.0684931506849315,0.945205479452055,3.9
"Antechinus leo",0.0849315068493151,0.958904109589041,2
"Antechinus minimus",0.0767123287671233,0.945205479452055,2
"Antechinus stuartii",0.0821917808219178,0.780821917808219,5.4
"Antechinus swainsonii",0.0767123287671233,0.904109589041096,3.3
"Dasycercus cristicauda",0.104109589041096,0.863013698630137,7.4
"Dasykaluta rosamondae",0.136986301369863,0.821917808219178,3
"Dasyuroides byrnei",0.0904109589041096,0.621917808219178,8
"Dasyurus geoffroii",0.0438356164383562,1,6.2
"Dasyurus hallucatus",NA,0.863013698630137,5.9
"Dasyurus maculatus",0.0575342465753425,0.931506849315068,6.8
"Dasyurus viverrinus",0.0547945205479452,0.917808219178082,6.8
"Ningaui ridei",0.0383561643835616,0.794520547945205,2
"Ningaui timealeyi",0.0383561643835616,NA,2
"Parantechinus apicalis",0.131506849315068,0.863013698630137,5.5
"Phascogale calura",0.0794520547945206,0.904109589041096,4.7
"Phascogale tapoatafa",0.0794520547945206,1,5.9
"Planigale gilesi",0.0438356164383562,0.657534246575342,5
"Planigale ingrami",NA,NA,1.3
"Planigale maculata",0.0547945205479452,0.794520547945205,5.8
"Planigale tenuirostris",0.0520547945205479,0.657534246575342,5.2
"Pseudantechinus bilarni",0.106849315068493,0.493150684931507,3
"Pseudantechinus macdonnellensis",0.117808219178082,0.958904109589041,7
"Pseudantechinus ningbing",0.123287671232877,0.904109589041096,2
"Pseudantechinus woolleyae",NA,0.821917808219178,4
"Sarcophilus harrisii",0.0712328767123288,2,13
"Sminthopsis crassicaudata",0.0383561643835616,0.375342465753425,5
"Sminthopsis dolichura",NA,0.698630136986301,3.2
"Sminthopsis douglasi",NA,NA,NA
"Sminthopsis griseoventer",NA,NA,3.6
"Sminthopsis macroura",0.0328767123287671,0.380821917808219,4.9
"Sminthopsis ooldea",0.0575342465753425,0.821917808219178,3
"Sminthopsis virginiae",0.0410958904109589,0.63013698630137,5.3
"Sminthopsis youngsoni",NA,NA,5.3
"Myrmecobius fasciatus",0.0383561643835616,NA,11
"Cynocephalus volans",0.287671232876712,NA,NA
"Caluromys derbianus",NA,0.657534246575342,8.7
"Caluromys philander",0.0657534246575342,0.832876712328767,8.9
"Caluromysiops irrupta",NA,NA,7.8
"Chironectes minimus",NA,0.832876712328767,3.1
"Didelphis albiventris",0.0328767123287671,1,1.7
"Didelphis aurita",NA,0.465753424657534,4
"Didelphis marsupialis",0.0328767123287671,0.572602739726027,4.2
"Didelphis virginiana",0.0328767123287671,0.584931506849315,6.6
"Gracilinanus agilis",NA,NA,6.1
"Lutreolina crassicaudata",0.0383561643835616,NA,2.9
"Marmosa mexicana",0.0383561643835616,NA,7
"Marmosa murina",0.0356164383561644,NA,3.6
"Marmosa robinsoni",0.0383561643835616,0.882191780821918,5
"Marmosops noctivagus",NA,NA,4.5
"Metachirus nudicaudatus",NA,NA,3
"Monodelphis adusta",NA,NA,4.1
"Monodelphis brevicaudata",NA,0.493150684931507,3.9
"Monodelphis domestica",0.0410958904109589,0.334246575342466,5.1
"Philander andersoni",NA,NA,NA
"Philander opossum",NA,1.23287671232877,4.4
"Acrobates pygmaeus",NA,0.828767123287671,8.8
"Distoechurus pennatus",NA,NA,2
"Burramys parvus",0.0410958904109589,0.876712328767123,12
"Cercartetus caudatus",NA,1.26027397260274,3.2
"Cercartetus nanus",NA,0.520547945205479,10.3
"Hypsiprymnodon moschatus",NA,1,6
"Dendrolagus bennettianus",NA,NA,20
"Dendrolagus dorianus",NA,NA,19
"Dendrolagus goodfellowi",0.123287671232877,NA,23.6
"Dendrolagus inustus",NA,1.3972602739726,23.8
"Dendrolagus matschiei",0.0876712328767123,2.31506849315068,26.9
"Dendrolagus ursinus",NA,NA,20
"Dorcopsis luctuosa",NA,1.23287671232877,13.9
"Dorcopsis muelleri",NA,NA,12.4
"Dorcopsulus macleayi",NA,NA,7.9
"Lagorchestes conspicillatus",0.0821917808219178,0.994520547945206,8.8
"Lagorchestes hirsutus",NA,0.904109589041096,13.2
"Lagostrophus fasciatus",NA,1,4
"Macropus agilis",0.0794520547945206,1.08219178082192,16.9
"Macropus antilopinus",0.0931506849315069,2.1972602739726,19.8
"Macropus bernardus",NA,NA,11.8
"Macropus dorsalis",0.0931506849315069,1.41643835616438,15
"Macropus eugenii",0.0767123287671233,1.37534246575342,15.1
"Macropus fuliginosus",0.0821917808219178,2.12328767123288,23.2
"Macropus giganteus",0.0986301369863014,2.64246575342466,25
"Macropus parma",0.0931506849315069,1.43013698630137,15.9
"Macropus parryi",0.0986301369863014,2.23013698630137,14
"Macropus robustus",0.0876712328767123,1.66712328767123,22
"Macropus rufogriseus",0.0794520547945206,1.37397260273973,15.2
"Macropus rufus",0.0904109589041096,1.81232876712329,25
"Onychogalea fraenata",0.063013698630137,0.506849315068493,7.4
"Onychogalea unguifera",NA,NA,5.5
"Petrogale assimilis",0.0849315068493151,1.43835616438356,13
"Petrogale brachyotis",NA,NA,10.1
"Petrogale concinna",0.0821917808219178,1.17808219178082,11.7
"Petrogale lateralis",NA,NA,12
"Petrogale penicillata",0.0821917808219178,1.54794520547945,14.3
"Petrogale xanthopus",0.0849315068493151,1.48219178082192,14.4
"Setonix brachyurus",0.0712328767123288,0.878082191780822,13.8
"Thylogale billardierii",0.0794520547945206,1.19178082191781,8.8
"Thylogale brunii",NA,NA,9.4
"Thylogale stigmatica",0.0794520547945206,0.926027397260274,9.7
"Thylogale thetis",NA,1.52054794520548,9
"Wallabia bicolor",0.0986301369863014,1.16712328767123,16.8
"Dactylopsila trivirgata",NA,NA,9.6
"Gymnobelideus leadbeateri",0.0438356164383562,1.28630136986301,14.1
"Petaurus australis",NA,1.98630136986301,15
"Petaurus breviceps",0.0438356164383562,0.947945205479452,17.8
"Petaurus norfolcensis",0.0547945205479452,NA,14.8
"Ailurops ursinus",NA,NA,NA
"Phalanger gymnotis",0.0356164383561644,NA,18.9
"Phalanger orientalis",NA,NA,4
"Spilocuscus maculatus",0.0356164383561644,0.665753424657534,17
"Trichosurus arnhemensis",NA,NA,NA
"Trichosurus caninus",0.0438356164383562,2.46575342465753,17
"Trichosurus vulpecula",0.0465753424657534,1.43150684931507,15.9
"Wyulda squamicaudata",NA,1.73972602739726,6
"Phascolarctos cinereus",0.0849315068493151,2.38493150684931,22.1
"Aepyprymnus rufescens",0.063013698630137,0.976712328767123,12.8
"Bettongia gaimardi",0.0547945205479452,0.717808219178082,11.8
"Bettongia lesueur",0.0575342465753425,0.597260273972603,10
"Bettongia penicillata",0.0493150684931507,0.493150684931507,18.8
"Bettongia tropica",0.0547945205479452,0.824657534246575,7
"Potorous longipes",0.104109589041096,2.06849315068493,15.3
"Potorous tridactylus",0.0821917808219178,1.0958904109589,14.5
"Hemibelideus lemuroides",NA,NA,5.4
"Petauroides volans",NA,1.75068493150685,15
"Pseudocheirus peregrinus",NA,1,10.1
"Tarsipes rostratus",0.115068493150685,0.457534246575342,2
"Lasiorhinus krefftii",NA,NA,30
"Lasiorhinus latifrons",0.0575342465753425,1.4986301369863,29.9
"Vombatus ursinus",0.073972602739726,2,30
"Atelerix albiventris",0.0958904109589041,0.23013698630137,11.4
"Atelerix algirus",0.10958904109589,NA,7
"Atelerix frontalis",0.101369863013699,1,NA
"Echinosorex gymnura",0.101369863013699,NA,7
"Erinaceus amurensis",NA,NA,8
"Erinaceus concolor",0.0958904109589041,0.583561643835616,7
"Erinaceus europaeus",0.0821917808219178,0.693150685,11.7
"Hemiechinus auritus",0.106849315068493,0.583561644,7.6
"Paraechinus aethiopicus",0.101369863013699,0.5,6.3
"Paraechinus hypomelas",0.134246575342466,0.5,7
"Dendrohyrax arboreus",0.627397260273973,1,13.6
"Heterohyrax brucei",0.627397260273973,1.35342465753425,14
"Procavia capensis",0.589041095890411,1.369863014,14.8
"Brachylagus idahoensis",0.073972602739726,0.701369863013699,NA
"Bunolagus monticularis",NA,NA,NA
"Lepus americanus",0.0986301369863014,0.984931507,8
"Lepus brachyurus",0.104109589041096,NA,13
"Lepus californicus",0.120547945205479,0.665753425,11.8
"Lepus capensis",0.117808219178082,0.552054794520548,NA
"Lepus europaeus",0.115068493150685,0.646575342465753,10.7
"Lepus timidus",0.136986301369863,0.728767123287671,18
"Lepus townsendii",0.106849315068493,0.912328767123288,8
"Oryctolagus cuniculus",0.0821917808219178,2,9
"Sylvilagus audubonii",0.0794520547945206,0.371232877,7.8
"Sylvilagus bachmani",0.073972602739726,0.421917808,6
"Sylvilagus floridanus",0.0821917808219178,0.336986301,9.8
"Sylvilagus nuttallii",0.0821917808219178,0.331506849,7.4
"Sylvilagus palustris",0.0931506849315069,0.6,7.6
"Sylvilagus transitionalis",0.0767123287671233,0.328767123287671,9.3
"Ochotona collaris",0.0821917808219178,1,6
"Ochotona hyperborea",0.0767123287671233,1,9.4
"Ochotona princeps",0.0821917808219178,0.950684932,7
"Ochotona pusilla",0.0821917808219178,0.0849315068493151,4
"Elephantulus brachyrhynchus",NA,NA,NA
"Elephantulus edwardii",0.164383561643836,0.173972603,5.666666667
"Elephantulus intufi",0.142465753424658,0.70958904109589,9.3
"Elephantulus rozeti",0.208219178082192,NA,7.2
"Elephantulus rufescens",0.167123287671233,0.136986301369863,7.9
"Macroscelides proboscideus",0.178082191780822,0.120547945,8.7
"Petrodromus tetradactylus",NA,NA,NA
"Rhynchocyon chrysopygus",0.115068493150685,0.104109589041096,11
"Rhynchocyon cirnei",NA,NA,NA
"Dromiciops gliroides",0.0671232876712329,1.5,3.49
"Ornithorhynchus anatinus",0.104109589041096,1.5013698630137,26
"Tachyglossus aculeatus",0.0917808219178082,1.5013698630137,49.5
"Zaglossus bruijni",0.0273972602739726,NA,41.2
"Notoryctes typhlops",NA,NA,1.5
"Echymipera kalubu",0.0356164383561644,NA,NA
"Echymipera rufescens",NA,NA,3.1
"Isoodon auratus",0.0328767123287671,NA,6.7
"Isoodon macrourus",0.0328767123287671,0.441095890410959,6.8
"Isoodon obesulus",0.0410958904109589,0.575342465753425,6.5
"Perameles bougainville",0.0328767123287671,0.328767123287671,5.8
"Perameles gunnii",0.0328767123287671,0.332876712328767,6.1
"Perameles nasuta",0.0328767123287671,0.36986301369863,5.6
"Peroryctes raffrayana",NA,0.328767123287671,3.2
"Macrotis lagotis",0.0465753424657534,0.410958904109589,9.6
"Equus asinus",0.983561643835616,2.34657534246575,47
"Equus caballus",0.923287671232877,2.58493150684932,57
"Equus grevyi",1.11232876712329,3.75205479452055,31
"Equus hemionus",0.928767123287671,3.21095890410959,31.6
"Equus kiang",0.819178082191781,NA,30.1
"Equus quagga",1,2.46575342465753,38
"Equus zebra",0.991780821917808,3.13424657534247,33.2
"Ceratotherium simum simum",1.41095890410959,4.5013698630137,45
"Dicerorhinus sumatrensis",0.646575342465753,7.5013698630137,32.8
"Diceros bicornis",1.2986301369863,5.58904109589041,49
"Rhinoceros sondaicus",1.37534246575342,3.5013698630137,40
"Rhinoceros unicornis",1.31232876712329,5.8013698630137,43.5
"Acrocodia indica",1.07397260273973,3,36.5
"Tapirella bairdii",1.0986301369863,NA,29.6
"Tapirus pinchaque",1.09041095890411,3.05123287671233,28.5
"Tapirus terrestris",1.09041095890411,3,39.6
"Manis crassicaudata",0.183561643835616,2.06890410958904,13.5
"Manis pentadactyla",NA,2.06890410958904,NA
"Bradypus torquatus",0.410958904109589,NA,12
"Bradypus tridactylus",0.386301369863014,3.74931506849315,NA
"Cyclopes didactylus",0.36986301369863,0.33,2.3
"Choloepus didactylus",0.764383561643836,4.0041095890411,36.8
"Choloepus hoffmanni",0.958904109589041,2.5,45
"Myrmecophaga tridactyla",0.504109589041096,3.24931506849315,31
"Tamandua mexicana",0.446575342465753,1.000317808,16
"Tamandua tetradactyla",0.438356164383562,1,19
"Aotus azarae",NA,NA,30
"Aotus lemurinus",0.36986301369863,2.06890410958904,33.8
"Aotus trivirgatus",0.389041095890411,2.12465753424658,30.1
"Aotus vociferans",NA,NA,22.1
"Alouatta caraya",0.512328767123288,2.86986301369863,32.4
"Alouatta guariba",NA,NA,NA
"Alouatta palliata",0.50958904109589,3.25068493150685,24
"Alouatta pigra",0.512328767123288,NA,20
"Alouatta sara",NA,NA,NA
"Alouatta seniculus",0.520547945205479,4.04109589041096,25
"Ateles belzebuth",0.504109589041096,4.5027397260274,37
"Ateles chamek",NA,NA,42.8
"Ateles fusciceps",0.621917808219178,4.57671232876712,46
"Ateles geoffroyi",0.635616438356164,5.0013698630137,47.1
"Ateles marginatus",NA,NA,44
"Ateles paniscus",0.627397260273973,3.83013698630137,46
"Brachyteles arachnoides",0.635616438356164,7.5013698630137,40
"Lagothrix lagothricha",0.610958904109589,5.58219178082192,32
"Callimico goeldii",0.419178082191781,1.04109589041096,22.2
"Callithrix geoffroyi",0.406986301369863,1.37500136986301,19
"Callithrix jacchus",0.394520547945205,1.17671232876712,22.8
"Callithrix kuhlii",NA,NA,20
"Callithrix penicillata",NA,NA,15.4
"Cebuella pygmaea",0.342465753424658,1.81095890410959,18.6
"Leontocebus fuscicollis",0.402739726027397,1.74794520547945,24.9
"Leontocebus nigricollis",0.383561643835616,2.32876712328767,20.2
"Leontopithecus chrysomelas",NA,NA,21.3
"Leontopithecus chrysopygus",NA,NA,17.9
"Leontopithecus rosalia",0.350684931506849,1.74931506849315,31.6
"Mico argentatus",0.394520547945205,0.873972602739726,16.5
"Mico humeralifer",0.394520547945205,0.873972602739726,15
"Saguinus bicolor",0.438356164383562,NA,19
"Saguinus geoffroyi",0.389041095890411,1.5013698630137,20.5
"Saguinus imperator",0.397260273972603,1.74794520547945,23.7
"Saguinus labiatus",0.402739726027397,NA,20.5
"Saguinus leucopus",0.389041095890411,NA,15.2
"Saguinus midas",0.347945205479452,1.66575342465753,21
"Saguinus mystax",0.397260273972603,1.40547945205479,20
"Saguinus oedipus",0.487671232876712,1.5041095890411,26.2
"Cebus albifrons",0.432876712328767,3.58904109589041,40.4
"Cebus capucinus",0.443835616438356,6.06301369863014,54
"Cebus olivaceus",0.443835616438356,6,47
"Saimiri boliviensis",0.432876712328767,NA,30.3
"Saimiri oerstedii",0.441095890410959,NA,NA
"Saimiri sciureus",0.441095890410959,3.87534246575342,30.2
"Sapajus apella",0.432876712328767,4.66575342465753,46
"Allenopithecus nigroviridis",NA,NA,27
"Allochrocebus lhoesti",NA,NA,24.1
"Allochrocebus preussi",NA,NA,26
"Allochrocebus solatus",NA,4.75068493150685,NA
"Cercocebus agilis",NA,NA,31
"Cercocebus galeritus",0.479452054794521,6.21095890410959,21
"Cercocebus torquatus",0.457534246575342,2.66575342465753,46
"Cercopithecus ascanius",0.402739726027397,4.4986301369863,31.2
"Cercopithecus campbelli",0.493150684931507,3,30
"Cercopithecus cephus",0.471232876712329,4,36
"Cercopithecus diana",NA,5.37534246575343,35.1
"Cercopithecus erythrogaster",NA,NA,24
"Cercopithecus hamlyni",NA,NA,28.6
"Cercopithecus mitis",0.361643835616438,4.58356164383562,37.8
"Cercopithecus mona",NA,NA,30
"Cercopithecus neglectus",0.484931506849315,5.70684931506849,30.8
"Cercopithecus nictitans",0.471232876712329,4,31
"Cercopithecus petaurista",NA,NA,29
"Cercopithecus pogonias",0.452054794520548,4,27
