CpG_Site,Coefficient,Mean_Beta_Value,Predictor
cg15036616,-0.006368805,0.030899641,Contactin-4
cg08425065,0.00375811,0.033105208,Contactin-4
cg04199473,0.008109412,0.043031553,Contactin-4
cg07190917,-0.003533246,0.045965589,Contactin-4
cg03183451,0.001068521,0.06406296,Contactin-4
cg00587115,9.91029e-4,0.0690323,Contactin-4
cg07234911,-0.010162332,0.071646925,Contactin-4
cg17745562,0.020490235,0.075560556,Contactin-4
cg27347930,7.44215e-4,0.078986693,Contactin-4
cg25124739,0.008106437,0.230132353,Contactin-4
cg09419670,-0.012778616,0.264077465,Contactin-4
cg03751527,0.005911825,0.27342411,Contactin-4
cg13230424,7.48578e-4,0.31952238,Contactin-4
cg06070970,-8.77477e-4,0.346769576,Contactin-4
cg22953960,0.010272105,0.373069397,Contactin-4
cg12921411,0.006941562,0.421201435,Contactin-4
cg12800266,0.012078354,0.50207711,Contactin-4
cg00707688,-0.010571916,0.558486528,Contactin-4
cg10573751,0.022709227,0.576587192,Contactin-4
cg01160311,0.007430285,0.627629326,Contactin-4
cg23874611,0.003146398,0.628046396,Contactin-4
cg17501210,0.02566933,0.631210325,Contactin-4
cg09425279,-0.02214217,0.638066732,Contactin-4
cg12559228,0.005533653,0.648754544,Contactin-4
cg05845217,0.002779297,0.678196295,Contactin-4
cg01459854,0.004943448,0.685090064,Contactin-4
cg07573872,0.024814259,0.723828463,Contactin-4
cg25790212,0.002433962,0.729814483,Contactin-4
cg06911238,-0.001005273,0.734069201,Contactin-4
cg13558105,0.008589167,0.746879226,Contactin-4
cg06690548,0.069348773,0.74974841,Contactin-4
cg15342087,0.011291717,0.780709274,Contactin-4
cg20747449,6.34731e-4,0.798553019,Contactin-4
cg13146020,0.003176979,0.80749707,Contactin-4
cg05575921,0.009118305,0.817338706,Contactin-4
cg07295586,0.012744888,0.825016688,Contactin-4
cg04789761,0.002936487,0.887092463,Contactin-4
cg15527674,0.00393191,0.90079968,Contactin-4
cg21228424,-0.002475208,0.906874522,Contactin-4
cg19076702,8.70365e-4,0.937108019,Contactin-4
cg25124965,-0.010712146,0.0214599,CRP
cg06629775,0.012668712,0.024073753,CRP
cg14189245,3.05505e-4,0.027285797,CRP
cg04979147,-0.008578067,0.032859838,CRP
cg15956152,0.016236263,0.033925025,CRP
cg03046746,0.002215527,0.035025186,CRP
cg27504805,0.010198743,0.036662169,CRP
cg05553000,-0.016245395,0.039788704,CRP
cg02996314,0.0019205,0.041898029,CRP
cg00462311,0.001430104,0.042533093,CRP
cg26341661,-0.024080873,0.045532151,CRP
cg01776246,-0.008760629,0.045607853,CRP
cg19305293,-0.00717267,0.049911217,CRP
cg01466678,-6.21016e-4,0.050435658,CRP
cg05700129,0.012982151,0.061747254,CRP
cg00973309,-0.009011454,0.063422187,CRP
cg03336504,0.005579766,0.063643328,CRP
cg23863410,-0.021452054,0.075488533,CRP
cg26051750,-0.008468329,0.076741942,CRP
cg03464232,0.007846879,0.083927432,CRP
cg08406486,0.005751339,0.098951096,CRP
cg16274476,0.006597634,0.120150488,CRP
cg04424621,-0.019274276,0.12784908,CRP
cg03699843,-5.19868e-4,0.12870915,CRP
cg25450449,-0.009693349,0.129532886,CRP
cg03725309,-0.010008805,0.134930135,CRP
cg06946797,-3.59151e-4,0.176472046,CRP
cg24531955,-0.016393185,0.181002673,CRP
cg26946114,-0.01139682,0.212148184,CRP
cg15732230,-0.009037329,0.227648144,CRP
cg00782811,0.008710843,0.23400508,CRP
cg00739217,-0.003329447,0.234284206,CRP
cg09349128,-0.003794169,0.243665125,CRP
cg22222413,-0.005798867,0.244145643,CRP
cg22039357,-0.014344165,0.260467855,CRP
cg19988426,-0.007247185,0.265412766,CRP
cg02888990,0.015365528,0.276601243,CRP
cg09884146,-0.013360563,0.291481864,CRP
cg03992323,-0.003286126,0.29385266,CRP
cg27386529,-0.008650337,0.312801745,CRP
cg19850406,0.005981755,0.325064934,CRP
cg07025011,0.00811298,0.366241556,CRP
cg21850879,-6.1e-5,0.370911136,CRP
cg18181703,-0.08825857,0.377354829,CRP
cg12594244,-0.003585251,0.414221551,CRP
cg26470501,-0.004387866,0.431977515,CRP
cg07546943,0.009928528,0.463609907,CRP
cg07676709,-0.00224312,0.471053699,CRP
cg16565528,-0.009486446,0.473764394,CRP
cg09823288,-0.007176788,0.481074698,CRP
cg14476101,-0.037191677,0.506141446,CRP
cg00156497,-4.82889e-4,0.515174549,CRP
cg26361436,-0.005572665,0.551621101,CRP
cg13966005,-0.013189646,0.581414262,CRP
cg15362155,2.3995e-4,0.588364738,CRP
cg05294455,0.003552017,0.597236021,CRP
cg27576485,-0.008832766,0.611915934,CRP
cg17501210,-0.001008243,0.631210325,CRP
cg20389678,0.0044263,0.632152651,CRP
cg07376381,0.010800616,0.644546928,CRP
cg06854772,0.010950505,0.662678711,CRP
cg18522655,-0.015310552,0.662863296,CRP
cg23892439,-0.006827843,0.691346272,CRP
cg12741441,0.002669252,0.693590261,CRP
cg23842572,0.032058112,0.697935396,CRP
cg17692971,0.003797411,0.714497924,CRP
cg07573872,-0.010024179,0.723828463,CRP
cg22693030,-0.005194364,0.745523028,CRP
cg24531489,-0.001833045,0.746975993,CRP
cg05393300,-0.003048223,0.761850048,CRP
cg00092711,0.015328641,0.768386538,CRP
cg21004104,3.34939e-4,0.768631831,CRP
cg01827818,-0.002476776,0.779144759,CRP
cg15342087,-0.025706866,0.780709274,CRP
cg18256630,-8.52716e-4,0.782216724,CRP
cg25682172,-0.001182862,0.782296215,CRP
cg06248061,0.004153308,0.782509562,CRP
cg12504163,-1.04342e-4,0.783904067,CRP
cg21340316,-0.004101882,0.784414956,CRP
cg08711320,-0.003015639,0.798051171,CRP
cg18862215,-0.001478818,0.798945212,CRP
cg12103720,-0.002461797,0.805902767,CRP
cg02769951,-0.013212633,0.809927243,CRP
cg20772593,0.002319232,0.81267316,CRP
cg13947310,0.001116601,0.816126427,CRP
cg08597205,0.005249705,0.830927492,CRP
cg26945392,-3.76155e-4,0.83127422,CRP
cg26631397,3.99643e-4,0.837466544,CRP
cg17797797,0.019201091,0.841451349,CRP
cg13157793,-0.0106339,0.844403038,CRP
cg14985591,0.011570504,0.850544467,CRP
cg01647917,0.001901409,0.851101015,CRP
cg05158395,-0.001953526,0.855706026,CRP
cg03446098,-0.014821089,0.874015328,CRP
cg13723853,0.005513027,0.884397962,CRP
cg20089935,0.011398233,0.893446005,CRP
cg22603960,0.004657716,0.901627084,CRP
cg25508605,0.014859997,0.944181501,CRP
cg06288869,-0.026223637,0.959649301,CRP
cg07207833,-0.010542183,0.972452524,CRP
cg00146096,0.002378934,0.027752469,CRTAM
cg26248608,-0.004020477,0.031361567,CRTAM
cg17752595,-0.006926756,0.032083982,CRTAM
cg01761409,0.008403651,0.032104504,CRTAM
cg13135595,0.004886793,0.034135529,CRTAM
cg22108864,0.002140091,0.037834639,CRTAM
cg18928584,0.015589242,0.040154795,CRTAM
cg13168314,-0.013510297,0.04035008,CRTAM
cg00050984,0.005357709,0.043667706,CRTAM
cg23558337,-0.002684681,0.046297486,CRTAM
cg05502939,0.001080879,0.046551669,CRTAM
cg07892785,0.00175601,0.049305768,CRTAM
cg10580269,0.017543411,0.050483175,CRTAM
cg08002883,0.027331575,0.054433712,CRTAM
cg24822696,0.02213696,0.055790429,CRTAM
cg10770187,0.018930295,0.060311575,CRTAM
cg16750440,0.020136915,0.085948304,CRTAM
cg00631221,0.004595137,0.097301305,CRTAM
cg05280133,0.012977421,0.108015564,CRTAM
cg23613857,0.023180528,0.115899664,CRTAM
cg12023170,0.001572288,0.117690594,CRTAM
cg09801824,0.027347362,0.127365953,CRTAM
cg03888592,0.002415751,0.128275021,CRTAM
cg04010091,0.003596803,0.132584027,CRTAM
cg15322932,-0.021624925,0.134571677,CRTAM
cg10867751,0.023845937,0.176541318,CRTAM
cg16411857,-0.037205489,0.177183169,CRTAM
cg14717122,-0.005796704,0.244535914,CRTAM
cg01187920,0.007467246,0.245057417,CRTAM
cg27589058,0.002062309,0.321222254,CRTAM
cg05107535,-0.014841549,0.34022294,CRTAM
cg27612129,0.011479031,0.382310538,CRTAM
cg07839457,-0.057087373,0.410350882,CRTAM
cg06096336,0.045076287,0.444502155,CRTAM
cg20794824,0.007524482,0.446637695,CRTAM
cg03736201,0.00850293,0,CRTAM
cg15871544,0.00546495,0,CRTAM
cg22281363,0.018983745,0,CRTAM
ch.3.3302591F,-0.033763044,0,CRTAM
cg17250770,0.013622503,0.507584233,CRTAM
cg25223623,-0.002438253,0.509953924,CRTAM
cg04506342,-0.024420781,0.514205429,CRTAM
cg08634357,-0.002245395,0.565957863,CRTAM
cg03461641,0.007013528,0.620700298,CRTAM
cg20009327,0.002271922,0.634767579,CRTAM
cg09107344,9.19e-5,0.673025823,CRTAM
cg25942860,-0.003060331,0.684015439,CRTAM
cg09583957,0.001095464,0.740101155,CRTAM
cg07537896,0.002124586,0.741924598,CRTAM
cg26999501,0.006012437,0.749914856,CRTAM
cg14297966,0.001928987,0.755483661,CRTAM
cg03207593,0.002521034,0.755968854,CRTAM
cg17124581,3.13641e-4,0.7823091,CRTAM
cg07536507,0.001698796,0.810931391,CRTAM
cg01132515,0.004151874,0.813880553,CRTAM
cg24670927,-0.036713235,0.818097006,CRTAM
cg20688340,0.008116225,0.822160955,CRTAM
cg21245653,0.003213843,0.822931259,CRTAM
cg01490663,-0.003390788,0.849112579,CRTAM
cg11217193,0.024207105,0.862150327,CRTAM
cg02405003,1.31643e-4,0.86868871,CRTAM
cg19380578,4.01298e-4,0.872450012,CRTAM
cg14631761,0.004881855,0.876998672,CRTAM
cg19533231,0.009527023,0.943830262,CRTAM
cg00511731,0.046875403,0.022342261,CXCL10
cg22409276,7.88096e-4,0.025001513,CXCL10
cg21943841,-0.01150925,0.025955538,CXCL10
cg20359524,0.013911157,0.028409368,CXCL10
cg20540942,8.62922e-4,0.029189904,CXCL10
cg22713976,0.005368556,0.030550621,CXCL10
cg23199886,-0.027156383,0.030750054,CXCL10
cg02337166,0.002146944,0.031269864,CXCL10
cg09067465,0.002728641,0.033076927,CXCL10
cg24906992,0.010013426,0.033612572,CXCL10
cg01105943,0.008209257,0.033976552,CXCL10
cg25160554,-2.53199e-4,0.03488608,CXCL10
cg27308166,0.001352592,0.036503667,CXCL10
cg12243115,0.003658084,0.03796892,CXCL10
cg19750882,0.005126818,0.037992737,CXCL10
cg18496653,-0.033931413,0.039652949,CXCL10
cg16970734,0.008028463,0.041964014,CXCL10
cg18601293,0.002055039,0.042200736,CXCL10
cg01681367,-0.03464392,0.043201601,CXCL10
cg02202022,0.017412589,0.043242026,CXCL10
cg14285013,0.01513449,0.044452012,CXCL10
cg12800698,-0.006014598,0.045773625,CXCL10
cg04009537,0.011841098,0.046671084,CXCL10
cg19131731,0.0025484,0.048531588,CXCL10
cg25328184,0.010549737,0.049140471,CXCL10
cg25153340,-5.14825e-4,0.053240093,CXCL10
cg19740458,0.013264891,0.053870862,CXCL10
cg27581592,0.020539036,0.054967567,CXCL10
cg26532358,0.010822864,0.055346728,CXCL10
cg23193870,0.005672327,0.06297867,CXCL10
cg10296410,0.003926415,0.066660833,CXCL10
cg26531141,0.009179268,0.06745313,CXCL10
cg08034440,-0.001219511,0.071249701,CXCL10
cg24858233,-0.002530217,0.073551093,CXCL10
cg22193726,0.002943515,0.078030951,CXCL10
cg13612295,0.007312325,0.078831728,CXCL10
cg00292568,0.008603621,0.080742677,CXCL10
cg15707568,0.017377454,0.082227409,CXCL10
cg10868715,0.001703394,0.094587463,CXCL10
cg07476327,-0.005924934,0.09855184,CXCL10
cg13612847,0.006662474,0.100131641,CXCL10
cg17536822,-0.037542797,0.104822272,CXCL10
cg00677866,-0.016872664,0.10947305,CXCL10
cg07069844,0.003724996,0.118732678,CXCL10
cg25751787,0.015323733,0.135389002,CXCL10
cg06729806,-0.008968174,0.143217751,CXCL10
cg18125510,-0.037460017,0.143707868,CXCL10
cg26447697,0.009915219,0.146454436,CXCL10
cg16411857,-0.006296635,0.177183169,CXCL10
cg11195298,0.002780342,0.20826011,CXCL10
cg24951864,0.008426384,0.2163367,CXCL10
cg05304729,-0.02265698,0.221854688,CXCL10
cg24469464,6.29713e-4,0.252256341,CXCL10
cg21389309,0.015452054,0.257458708,CXCL10
cg06015525,0.01964112,0.279358288,CXCL10
cg15239904,0.014227646,0.281591833,CXCL10
cg14364797,0.036834781,0.298504038,CXCL10
cg00114966,-0.005731681,0.300266222,CXCL10
cg10821127,0.036422044,0.31608036,CXCL10
cg00883218,-0.004767944,0.320638603,CXCL10
cg19377607,0.004853847,0.351983153,CXCL10
cg24213248,0.02139252,0.363227658,CXCL10
cg16246545,-0.020092118,0.374474638,CXCL10
cg00398420,0.023054272,0.385457725,CXCL10
cg01899089,0.003699413,0.403883225,CXCL10
cg07839457,-0.114334035,0.410350882,CXCL10
cg06000330,0.001658208,0.417569157,CXCL10
cg21434376,-0.010856224,0.43017509,CXCL10
cg18856614,0.015902625,0.440306254,CXCL10
cg06974175,0.013485441,0.45404737,CXCL10
cg03482866,-0.01244441,0.468887699,CXCL10
cg26575471,0.01445987,0.478202501,CXCL10
cg26552621,0.004978051,0.490320798,CXCL10
cg04410073,0.00981615,0,CXCL10
cg05949877,0.001477647,0,CXCL10
cg06170203,0.002774846,0,CXCL10
cg08072862,-0.007698201,0,CXCL10
cg08575621,0.008267886,0,CXCL10
cg12011926,0.002752334,0,CXCL10
cg12365667,5.8335e-4,0,CXCL10
cg13031097,-0.014368474,0,CXCL10
cg15138289,0.012393716,0,CXCL10
cg15621338,0.011681337,0,CXCL10
cg17349143,-0.004038229,0,CXCL10
cg19929123,-0.026701154,0,CXCL10
cg20242889,0.002773027,0,CXCL10
cg21376120,0.013356426,0,CXCL10
cg22033530,0.001336546,0,CXCL10
cg25024717,0.00371877,0,CXCL10
cg04245248,5.16292e-4,0.503590523,CXCL10
cg01560900,0.021786889,0.519499989,CXCL10
cg21035883,-0.006960801,0.527134672,CXCL10
cg25331880,0.002126146,0.527210391,CXCL10
cg10202113,0.007751108,0.535593092,CXCL10
cg04659154,0.007349166,0.546754833,CXCL10
cg17835016,0.002524094,0.550843133,CXCL10
cg21909751,0.001631355,0.552456259,CXCL10
cg10365769,-8.41636e-4,0.55549775,CXCL10
cg25263454,-0.001200142,0.570503958,CXCL10
cg00122679,-0.009948371,0.574694807,CXCL10
cg16138181,0.013172568,0.585430552,CXCL10
cg13314965,-0.010647296,0.58619711,CXCL10
cg18494902,0.026054752,0.596430468,CXCL10
cg02583589,0.001258744,0.601181879,CXCL10
cg22586569,0.007002756,0.606548681,CXCL10
cg09581226,0.006370885,0.608335674,CXCL10
cg26703534,0.010415454,0.608573121,CXCL10
cg00534468,0.015538652,0.609056762,CXCL10
cg07992308,0.005374399,0.615097519,CXCL10
cg20674327,0.003146696,0.618963787,CXCL10
cg00336867,0.012795609,0.631391096,CXCL10
cg19628299,-0.020457212,0.634766393,CXCL10
cg17019184,-0.008109411,0.636060998,CXCL10
cg07447742,5.7258e-4,0.643277286,CXCL10
cg16903885,0.010917592,0.650956868,CXCL10
cg04479464,0.006248582,0.651897457,CXCL10
cg24592370,-0.009477837,0.652896409,CXCL10
cg05792786,0.002917792,0.657596571,CXCL10
cg27360300,0.010041368,0.66437625,CXCL10
cg17158564,0.00154427,0.669738991,CXCL10
cg12492380,0.01144751,0.670252442,CXCL10
cg23029597,0.005784083,0.67072087,CXCL10
cg07683330,-0.042629254,0.682179679,CXCL10
cg12858166,0.011076316,0.682309995,CXCL10
cg05707833,0.009791729,0.685541139,CXCL10
cg24061125,5.42184e-4,0.68748206,CXCL10
cg16866941,-0.008328504,0.687868806,CXCL10
cg05098037,7.26753e-4,0.688779648,CXCL10
cg09138780,0.020533865,0.707282324,CXCL10
cg26002568,-0.001913537,0.709366317,CXCL10
cg11218842,0.004763186,0.715596823,CXCL10
cg25976804,0.006568807,0.717481971,CXCL10
cg05655707,0.003593638,0.718616071,CXCL10
cg06155771,7.41804e-4,0.729828837,CXCL10
cg18486231,0.011065728,0.735234133,CXCL10
cg05038288,0.006280537,0.737563898,CXCL10
cg10180058,0.017024898,0.747151843,CXCL10
cg06690548,-0.027958705,0.74974841,CXCL10
cg22506801,0.005520964,0.757588947,CXCL10
cg23437420,-0.006451921,0.764917965,CXCL10
cg07087457,0.008867372,0.765030002,CXCL10
cg17661717,0.008121191,0.765780847,CXCL10
cg01113412,0.005189149,0.767001067,CXCL10
cg24155984,0.005875842,0.790159495,CXCL10
cg02336364,-4.18972e-4,0.791099517,CXCL10
cg08448084,0.004304796,0.791505111,CXCL10
cg02969716,0.002609331,0.791777885,CXCL10
cg25943702,-0.009656003,0.792719296,CXCL10
cg05165982,-0.012008233,0.79292347,CXCL10
cg02246225,0.001844904,0.793274286,CXCL10
cg11832601,0.003591711,0.795833222,CXCL10
cg25426302,0.009554444,0.796127871,CXCL10
cg24851586,0.002653231,0.797351864,CXCL10
cg09286981,0.008838586,0.797527288,CXCL10
cg10806483,0.002704594,0.798822801,CXCL10
cg11197945,-0.011063505,0.798896528,CXCL10
cg10363443,-0.004105636,0.800943872,CXCL10
cg24151204,-0.011270381,0.801072698,CXCL10
cg04928045,0.009638018,0.807568829,CXCL10
cg14202695,-0.01683543,0.816276739,CXCL10
cg19521384,-0.011462089,0.818892063,CXCL10
cg02695698,4.33138e-4,0.819279495,CXCL10
cg16706905,0.02308631,0.8207914,CXCL10
cg01366698,0.005084267,0.838844146,CXCL10
cg04566233,0.004041095,0.841099151,CXCL10
cg12086462,-0.009768301,0.84762902,CXCL10
cg03577350,0.012172276,0.848277373,CXCL10
cg12313606,0.010837934,0.849013448,CXCL10
cg17900127,-0.006500957,0.850074056,CXCL10
cg25354848,0.011542102,0.851955095,CXCL10
cg16485897,-0.030725419,0.852705357,CXCL10
cg16890298,0.018694369,0.853865896,CXCL10
cg07965986,-0.00194283,0.855076222,CXCL10
cg05780020,-0.00133992,0.856920316,CXCL10
cg17016931,0.004262588,0.857206847,CXCL10
cg10420542,0.012077852,0.858288563,CXCL10
cg11859384,-0.037428561,0.859526082,CXCL10
cg03423395,8.07047e-4,0.861490111,CXCL10
cg15880716,0.016211095,0.864604044,CXCL10
cg22242207,-0.00597273,0.865357614,CXCL10
cg22933879,-0.021207137,0.867546576,CXCL10
cg06589961,0.003797493,0.868007462,CXCL10
cg07499372,-0.006886065,0.870393151,CXCL10
cg06407115,0.00418909,0.870527891,CXCL10
cg03704355,0.00215057,0.875385426,CXCL10
cg03612201,0.014557064,0.876316569,CXCL10
cg16046261,0.002409332,0.877838945,CXCL10
cg05331807,0.009543382,0.900059025,CXCL10
cg05861641,-0.00197028,0.919777422,CXCL10
cg17893934,-0.012567644,0.930335797,CXCL10
cg03844838,0.01450016,0.93871727,CXCL10
cg15400652,0.002442777,0.948539467,CXCL10
cg03258421,-0.001887305,0.949302726,CXCL10
cg19829856,0.002660542,0.953666216,CXCL10
cg02605601,0.00289996,0.970201648,CXCL10
cg19563062,-0.00261758,0.975395065,CXCL10
cg02299568,0.014737008,0.022071325,CXCL10 soma
cg21045841,0.004083112,0.023941572,CXCL10 soma
cg02801839,9.38514e-4,0.024250669,CXCL10 soma
cg27576679,0.009552714,0.024764718,CXCL10 soma
cg19784848,0.014782839,0.025955348,CXCL10 soma
cg07057074,0.013931424,0.027041376,CXCL10 soma
cg17170088,0.022759027,0.02714054,CXCL10 soma
cg12156831,0.080906166,0.027708131,CXCL10 soma
cg13448968,1.42086e-4,0.028855573,CXCL10 soma
cg24233331,0.011290161,0.0292213,CXCL10 soma
cg12996119,0.04339889,0.029851115,CXCL10 soma
cg16608053,0.058282984,0.030404458,CXCL10 soma
cg04586407,0.021069768,0.030571571,CXCL10 soma
cg16031711,0.00114803,0.03079553,CXCL10 soma
cg26869849,-0.017939901,0.031897796,CXCL10 soma
cg21934978,-0.00887344,0.032217782,CXCL10 soma
cg10550160,-0.001546716,0.032568564,CXCL10 soma
cg23033430,0.014579279,0.033244839,CXCL10 soma
cg15627710,-0.002611566,0.033291195,CXCL10 soma
cg08193100,0.02239723,0.035371591,CXCL10 soma
cg27410012,-0.003628842,0.035595314,CXCL10 soma
cg06688848,0.001190069,0.035598596,CXCL10 soma
cg08585380,0.017193419,0.035665315,CXCL10 soma
cg06866163,0.003379891,0.036236936,CXCL10 soma
cg00092287,0.014011865,0.036304841,CXCL10 soma
cg23653712,0.014984128,0.036778277,CXCL10 soma
cg20387712,0.007117819,0.039018916,CXCL10 soma
cg03872502,0.010789162,0.039308749,CXCL10 soma
cg01027498,0.007920226,0.040439058,CXCL10 soma
cg18722247,-0.002844734,0.040480596,CXCL10 soma
cg16232979,0.009857625,0.04089467,CXCL10 soma
cg14249227,0.045227228,0.041521933,CXCL10 soma
cg05364829,0.026669979,0.042777144,CXCL10 soma
cg21155796,0.024699641,0.042871441,CXCL10 soma
cg20367082,-7.6084e-4,0.043168296,CXCL10 soma
cg07515251,0.010651545,0.04566539,CXCL10 soma
cg18108716,0.022629723,0.046195437,CXCL10 soma
cg00115984,-0.003626643,0.046371855,CXCL10 soma
cg21248130,-0.00328599,0.046447259,CXCL10 soma
cg00463171,-0.00390781,0.046594954,CXCL10 soma
cg24385709,-0.015850479,0.046912413,CXCL10 soma
cg16662877,0.01927796,0.04993549,CXCL10 soma
cg13621410,-0.018910227,0.050485953,CXCL10 soma
cg06366213,-0.005586448,0.055949386,CXCL10 soma
cg07875759,0.004081436,0.0572523,CXCL10 soma
cg18194292,0.005008962,0.059940166,CXCL10 soma
cg24186939,0.007016924,0.061118794,CXCL10 soma
cg13465631,-0.001243037,0.064270636,CXCL10 soma
cg08905130,-0.018215292,0.065158547,CXCL10 soma
cg27478961,-0.002414391,0.066401731,CXCL10 soma
cg15728861,0.002418243,0.068810072,CXCL10 soma
cg10374258,-0.001221766,0.070850506,CXCL10 soma
cg03508526,-8.99025e-4,0.072799671,CXCL10 soma
cg03630710,4.68e-5,0.079229819,CXCL10 soma
cg02915221,-7.71925e-4,0.0815642,CXCL10 soma
cg08859095,0.01320827,0.083161484,CXCL10 soma
cg26691434,-0.006311399,0.083207107,CXCL10 soma
cg01881899,0.009672608,0.083891143,CXCL10 soma
cg24860475,0.020649073,0.083919557,CXCL10 soma
cg16589299,0.005334811,0.090936522,CXCL10 soma
cg12406391,0.006377063,0.091214475,CXCL10 soma
cg12143499,-0.002182454,0.104571628,CXCL10 soma
cg14207147,0.014271093,0.107070567,CXCL10 soma
cg19093820,-2.95587e-4,0.107459095,CXCL10 soma
cg21365298,0.001929643,0.114007132,CXCL10 soma
cg02126031,0.005186994,0.117887666,CXCL10 soma
cg12559208,5.52178e-4,0.11915766,CXCL10 soma
cg17627654,0.005349577,0.13949387,CXCL10 soma
cg12197142,-0.012225518,0.141893831,CXCL10 soma
cg16277725,-0.004941876,0.1432121,CXCL10 soma
cg10658666,0.002226474,0.152730804,CXCL10 soma
cg20674635,0.010907451,0.153056697,CXCL10 soma
cg09845604,-0.005232379,0.153374975,CXCL10 soma
cg00010742,0.003784926,0.154378515,CXCL10 soma
cg16051083,0.003058942,0.170415355,CXCL10 soma
cg22671798,-0.013596986,0.174345978,CXCL10 soma
cg16411857,-0.014737771,0.177183169,CXCL10 soma
cg15793563,7.91612e-4,0.177590625,CXCL10 soma
cg03638795,-0.003372533,0.182167408,CXCL10 soma
cg09251764,-0.023348347,0.200247751,CXCL10 soma
cg20038252,-0.005201778,0.204605043,CXCL10 soma
cg08022502,-5.74018e-4,0.212808744,CXCL10 soma
cg01353073,-0.001476831,0.25378860600000003,CXCL10 soma
cg05360958,-0.017339056,0.260945913,CXCL10 soma
cg18514595,-0.011643866,0.2704796,CXCL10 soma
cg05548190,-0.017932648,0.275988855,CXCL10 soma
cg22136749,-0.002492698,0.281652146,CXCL10 soma
cg01517384,-0.011070089,0.286557577,CXCL10 soma
cg14364797,0.010694836,0.298504038,CXCL10 soma
cg07547549,6.85181e-4,0.30050627,CXCL10 soma
cg06299997,-0.001183741,0.315629457,CXCL10 soma
cg09748749,-0.001740225,0.344350981,CXCL10 soma
cg03132729,-0.001329746,0.3827833,CXCL10 soma
cg22400015,0.008117546,0.403709468,CXCL10 soma
cg07839457,-0.108414543,0.410350882,CXCL10 soma
cg03349134,-0.002437059,0.422786437,CXCL10 soma
cg10725861,4.45e-5,0.458852755,CXCL10 soma
cg22221831,-0.008741069,0.46769942,CXCL10 soma
cg00618711,-0.001450849,0.482841658,CXCL10 soma
cg04727357,-0.003808946,0.494947068,CXCL10 soma
cg11142333,-0.012340825,0.496798434,CXCL10 soma
cg06962373,-0.003862231,0.543182652,CXCL10 soma
cg03681057,-0.01652383,0.556950493,CXCL10 soma
cg01078048,-0.005890592,0.587945155,CXCL10 soma
cg18924562,0.023970923,0.593094984,CXCL10 soma
cg02481950,-0.021775192,0.624156339,CXCL10 soma
cg17131445,0.007799549,0.629324586,CXCL10 soma
cg16867657,0.045684534,0.637998123,CXCL10 soma
cg06719042,-0.020320254,0.639310115,CXCL10 soma
cg25376491,-0.011933674,0.640603815,CXCL10 soma
cg04576298,0.006279614,0.646061907,CXCL10 soma
cg27314761,0.011831928,0.650121503,CXCL10 soma
cg14605520,0.017108027,0.65024552,CXCL10 soma
cg14109551,-0.015304544,0.671345847,CXCL10 soma
cg04444027,4.7472e-4,0.672612116,CXCL10 soma
cg04468741,-0.001170068,0.673372944,CXCL10 soma
cg08871628,-0.01452538,0.678300404,CXCL10 soma
cg09899496,0.001160754,0.679081015,CXCL10 soma
cg26717590,-0.02527749,0.682423723,CXCL10 soma
cg10177795,0.001835675,0.684801401,CXCL10 soma
cg26424956,0.007848739,0.685215764,CXCL10 soma
cg00549798,0.010576352,0.688239471,CXCL10 soma
cg04149776,-0.009087372,0.694116589,CXCL10 soma
cg01579216,-0.002251892,0.694945249,CXCL10 soma
cg07630229,0.005441197,0.695661642,CXCL10 soma
cg24980709,0.004982494,0.703184498,CXCL10 soma
cg03243506,3.96193e-4,0.706548312,CXCL10 soma
cg10173172,0.004505506,0.708175469,CXCL10 soma
cg19911880,-7.4147e-4,0.712146395,CXCL10 soma
cg04737993,0.00653995,0.718042097,CXCL10 soma
cg01975529,0.009667529,0.721240989,CXCL10 soma
cg20883730,0.002683044,0.723324868,CXCL10 soma
cg00401032,0.003056739,0.72465821,CXCL10 soma
cg16652855,-0.003771457,0.72628552,CXCL10 soma
cg24653270,-0.032306645,0.728580981,CXCL10 soma
cg18084046,0.008420882,0.733921078,CXCL10 soma
cg26782150,-8.79203e-4,0.746161796,CXCL10 soma
cg08037115,0.005536469,0.751317257,CXCL10 soma
cg05726258,-0.025511418,0.759808545,CXCL10 soma
cg18416823,0.009543428,0.766352185,CXCL10 soma
cg02309882,-0.019098351,0.767402429,CXCL10 soma
cg11061975,0.029111669,0.767441049,CXCL10 soma
cg13637269,-0.010119518,0.769902619,CXCL10 soma
cg14898177,0.016594655,0.777805698,CXCL10 soma
cg07784293,0.022070631,0.778170994,CXCL10 soma
cg00628766,-0.015506861,0.779526895,CXCL10 soma
cg18329753,0.005691607,0.781209761,CXCL10 soma
cg14236957,0.002192312,0.78228075,CXCL10 soma
cg20735050,-0.003266359,0.786156363,CXCL10 soma
cg08308360,-0.006913633,0.786292802,CXCL10 soma
cg12568707,-0.006186806,0.78736783,CXCL10 soma
cg03915012,-0.018659917,0.787761501,CXCL10 soma
cg24919884,-0.123348962,0.788697375,CXCL10 soma
cg26344026,-0.004776083,0.789175891,CXCL10 soma
cg18642425,-0.01110664,0.794770157,CXCL10 soma
cg04352803,-0.014886724,0.795075369,CXCL10 soma
cg00699419,-0.032163083,0.803536175,CXCL10 soma
cg00063979,-0.037994211,0.806428967,CXCL10 soma
